ts_ns,ax,ay,az,gesture,trial_id
1121269136000,-0.9697,0.2251,9.4763,figure8,46
1121289135000,-0.9457,0.0766,9.5672,figure8,46
1121309179000,-0.9337,-0.091,9.6367,figure8,46
1121329203000,-0.9577,-0.1197,9.5529,figure8,46
1121349132000,-1.0247,0.1125,9.5313,figure8,46
1121369219000,-1.0846,0.2753,9.4379,figure8,46
1121389199000,-1.1277,0.1724,9.4571,figure8,46
1121409104000,-1.0894,-0.0287,9.5529,figure8,46
1121429214000,-0.984,-0.1006,9.5361,figure8,46
1121449123000,-0.8619,-0.2682,9.6414,figure8,46
1121469135000,-0.9313,-0.4142,9.5289,figure8,46
1121489219000,-0.905,-0.1987,9.5265,figure8,46
1121509113000,-0.8236,-0.2155,9.5385,figure8,46
1121529158000,-0.7326,-0.2562,9.6103,figure8,46
1121549195000,-0.7925,-0.5698,9.6534,figure8,46
1121569107000,-0.929,-0.8547,9.5074,figure8,46
1121589135000,-1.0534,-0.8835,9.5026,figure8,46
1121609183000,-0.826,-1.2857,9.5936,figure8,46
1121629113000,-0.5626,-2.3798,9.6965,figure8,46
1121649140000,-0.2514,-3.6871,10.1993,figure8,46
1121669201000,-0.2586,-3.9025,10.8912,figure8,46
1121689149000,-0.5938,-3.1891,11.5305,figure8,46
1121709175000,-0.814,-2.2362,12.1051,figure8,46
1121729107000,-0.9744,-0.5626,12.0524,figure8,46
1121749135000,-1.3934,1.6712,11.8274,figure8,46
1121769206000,-1.5754,3.6368,11.5999,figure8,46
1121789232000,-2.1404,4.628,11.4203,figure8,46
1121809196000,-2.5786,4.9392,11.2982,figure8,46
1121829135000,-2.5259,5.6024,11.1642,figure8,46
1121849194000,-2.3391,5.8203,10.6518,figure8,46
1121869113000,-1.98,5.3199,9.7061,figure8,46
1121889141000,-1.992,4.9799,9.1291,figure8,46
1121909147000,-1.9082,5.1906,8.2935,figure8,46
1121929153000,-2.2984,5.2744,7.4077,figure8,46
1121949155000,-2.3703,5.0781,6.1794,figure8,46
1121969238000,-2.2817,4.2425,5.2481,figure8,46
1121989135000,-2.3655,2.9185,4.2258,figure8,46
1122009238000,-2.2673,1.4006,3.9002,figure8,46
1122029152000,-1.9609,-0.2705,2.9999,figure8,46
1122049183000,-1.0846,-1.7502,3.0478,figure8,46
1122069213000,-0.0263,-3.4189,3.5506,figure8,46
1122089204000,0.7087,-4.9919,4.0247,figure8,46
1122109261000,0.9792,-5.7964,4.9536,figure8,46
1122129119000,0.8475,-6.5553,6.3375,figure8,46
1122149152000,0.656,-7.5537,7.5776,figure8,46
1122169158000,0.4693,-9.0621,9.6391,figure8,46
1122189183000,1.1851,-9.3206,10.671,figure8,46
1122209182000,1.2665,-8.679,11.9878,figure8,46
1125709166000,-0.9936,3.0646,9.7061,figure8,47
